state,district,police,fire,ambulance,tourist_helpline,women_helpline,childline,disaster_mgmt,road_accident,rail_accident
Kerala,Kollam,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Shimla,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Manali,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Dharamshala,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Kullu,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Chamba,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Mandi,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Bilaspur,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Solan,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Kinnaur,100,101,102,1363,1091,1098,108,1073,1072
Himachal Pradesh,Spiti,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Kolkata,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Darjeeling,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Siliguri,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Asansol,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Digha,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Howrah,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Hooghly,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Kharagpur,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Cooch Behar,100,101,102,1363,1091,1098,108,1073,1072
West Bengal,Malda,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Ahmedabad,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Surat,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Vadodara,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Rajkot,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Gandhinagar,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Bhuj,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Junagadh,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Dwarka,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Jamnagar,100,101,102,1363,1091,1098,108,1073,1072
Gujarat,Kutch,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Hyderabad,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Warangal,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Nizamabad,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Karimnagar,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Khammam,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Adilabad,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Mahbubnagar,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Medak,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Rangareddy,100,101,102,1363,1091,1098,108,1073,1072
Telangana,Sangareddy,100,101,102,1363,1091,1098,108,1073,1072
Delhi,New Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,South Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,North Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,East Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,West Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,Central Delhi,100,101,102,1363,1091,1098,108,1073,1072
Delhi,Dwarka,100,101,102,1363,1091,1098,108,1073,1072
Delhi,Rohini,100,101,102,1363,1091,1098,108,1073,1072
Delhi,Saket,100,101,102,1363,1091,1098,108,1073,1072
Delhi,Karol Bagh,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Bhopal,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Indore,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Gwalior,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Jabalpur,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Ujjain,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Khajuraho,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Sagar,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Ratlam,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Rewa,100,101,102,1363,1091,1098,108,1073,1072
Madhya Pradesh,Chhindwara,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Bhubaneswar,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Cuttack,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Puri,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Rourkela,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Sambalpur,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Balasore,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Kalahandi,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Jajpur,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Ganjam,100,101,102,1363,1091,1098,108,1073,1072
Odisha,Koraput,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Amritsar,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Ludhiana,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Patiala,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Jalandhar,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Bhatinda,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Ferozepur,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Gurdaspur,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Pathankot,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Hoshiarpur,100,101,102,1363,1091,1098,108,1073,1072
Punjab,Mohali,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Gurugram,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Faridabad,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Panipat,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Ambala,100,101,102,1363,1091,1098,108,1073,1072
